1404002,,,,,,,,
hbb_seg_id_version,,,,,,,,
hbb_branch_id,,,,,,,,
hbb_branch_name,,,,,,,,
hbb_branch_state,,,,,,,,
hbb_branch_post_code,,,,,,,,
hbb_branch_cntry_code,,,,,,,,
hbb_staff_id,,,,,,,,
hbb_work_station_id,,,,,,,,
1405002,,,,,,,,
hcp_seg_id_version,,,,,,,,
hcp_type,,,,,,,,
hcp_date,,,,,,,,
1406001,,,,,,,,
hbp_seg_id_version,,,,,,,,
hbp_type,,,,,,,,
hbp_application,,,,,,,,
hbp_date,,,,,,,,
hbp_staff_id,,,,,,,,
hbp_work_station_id,,,,,,,,
1407001,,,,,,,,
hot_seg_id_version,,,,,,,,
hot_channel_name,,,,,,,,
hot_description,,,,,,,,
1408001,,,,,,,,
hfc_seg_id_version,,,,,,,,
hfc_na_office_no,,,,,,,,
hfc_na_fc_no,,,,,,,,
hfc_fc_psn_no,,,,,,,,
hfc_wc_cd,,,,,,,,
hfc_rgn_no,,,,,,,,
hfc_fc_st_rgr_ind,,,,,,,,
hfc_mgt_prnt_cd,,,,,,,,
hfc_cntry_cd,,,,,,,,
hfc_from_date,,,,,,,,
hfc_to_date,,,,,,,,
hfc_iso_cntry_cd,,,,,,,,
hfc_orig_main_ofc_no,,,,,,,,
hfc_orig_fc_no,,,,,,,,
1409000,,,,,,,,
hqm_seg_id_version,,,,,,,,
hqm_payment_method,,,,,,,,
hqm_payment_id,,,,,,,,
hqm_sub_channel,,,,,,,,
hqm_sub_channel_id,,,,,,,,
hqm_payment_media,,,,,,,,
hqm_onus_flag,,,,,,,,
hqm_term_id,,,,,,,,
hqm_term_city,,,,,,,,
hqm_term_state,,,,,,,,
hqm_term_post_code,,,,,,,,
hqm_term_cntry_code,,,,,,,,
1410001,,,,,,,,
tca_seg_id_version,,,,,,,,
tca_merch_amt,,,,,,,,
tca_merch_curr_code,,,,,,,,
tca_client_amt,cardfinancial.amount,,,,,,,
tca_client_curr_code,cardfinancial.currency,,,,,,,
tca_mod_amt,cardfinancial.usdAmount,,,,,,,
tca_tran_type,,,,,,,,
tca_client_tran_type,cardfinancial.clientType,,,,,,,
tca_auth_sys_dec,request.clientDecision,,,,,,,
tca_auth_sys_info,cardfinancial.authenticationDecisionScore,,,,,,,
tca_reversal_ind,cardfinancial.reversalInd,,,,,,,
tca_stand_in_ind,cardfinancial.standInInd,,,,,,,
tca_inst_credit_ind,cardfinancial.instantCreditInd,,,,,,,
tca_cash_back_amt,cardfinancial.cashbackAmt,,,,,,,
tca_ref_num,,,,,,,,
1501001,,,,,,,,
tcp_seg_id_version,,,,,,,,
tcp_billing_amt,,,,,,,,
tcp_merch_amt,,,,,,,,
tcp_merch_curr_code,,,,,,,,
tcp_client_amt,,,,,,,,
tcp_client_curr_code,,,,,,,,
tcp_mod_amt,,,,,,,,
tcp_tran_type,,,,,,,,
tcp_client_tran_type,,,,,,,,
tcp_auth_ind,,,,,,,,
tcp_purchase_date,,,,,,,,
tcp_purchase_time,,,,,,,,
tcp_purchase_utc_flag,,,,,,,,
tcp_cash_back_amt,,,,,,,,
tcp_reversal_ind,,,,,,,,
tcp_stand_in_ind,,,,,,,,
tcp_inst_credit_ind,,,,,,,,
tcp_auth_ref_number,,,,,,,,
tcp_post_ref_number,,,,,,,,
1501101,,,,,,,,
tcm_seg_id_version,,,,,,,,
tcm_mer_amt,,,,,,,,
tcm_mer_curr_code,,,,,,,,
tcm_mod_amt,,,,,,,,
tcm_inst_credit_ind,,,,,,,,
tcm_cash_back_amt,,,,,,,,
tcm_client_tran_type,,,,,,,,
tcm_store_id,,,,,,,,
tcm_purchase_dept,,,,,,,,
tcm_item_code,,,,,,,,
tcm_item_count,,,,,,,,
tcm_shipping_address,,,,,,,,
tcm_shipping_city,,,,,,,,
tcm_shipping_state,,,,,,,,
tcm_shipping_post_code,,,,,,,,
tcm_shipping_cntry_code,,,,,,,,
tcm_billing_address,,,,,,,,
tcm_billing_city,,,,,,,,
tcm_billing_state,,,,,,,,
tcm_billing_post_code,,,,,,,,
tcm_billing_cntry_code,,,,,,,,
tcm_reversal_ind,,,,,,,,
tcm_stand_in_ind,,,,,,,,
tcm_ref_num,,,,,,,,
tcm_3d_secure,,,,,,,,
1501201,,,,,,,,
tsh_seg_id_version,,,,,,,,
tsh_tran_type,,,,,,,,
tsh_ref_num,,,,,,,,
tsh_tran_status,,,,,,,,
tsh_status_reason,,,,,,,,
tsh_revision_code,,,,,,,,
tsh_amount_type,,,,,,,,
tsh_billing_amt,,,,,,,,
tsh_client_amt,,,,,,,,
tsh_client_curr_code,,,,,,,,
tsh_mod_amt,,,,,,,,
tsh_sch_start_date,,,,,,,,
tsh_sch_end_date,,,,,,,,
tsh_recurr_freq,payment.scheduleInd,,,,,,,
tsh_self_acct_ind,,,,,,,,
tsh_bill_cat,,,,,,,,
tsh_bill_sub_cat,,,,,,,,
tsh_bill_psnt_ind,,,,,,,,
tsh_billing_ref_num,,,,,,,,
1502001,,,,,,,,
tbt_seg_id_version,,,,,,,,
tbt_tran_type,payment.type,,,,,,,
tbt_ref_num,payment.idenitifier,,,,,,,
,payment.referenceNumber,,,,,,,
tbt_description,payment.desc,,,,,,,
tbt_tran_status,payment.status,,,,,,,
tbt_status_reason,payment.statusDesc,,,,,,,
tbt_revision_code,payment.revision,,,,,,,
tbt_billing_amt,,,,,,,,
tbt_tran_amt,payment.amount,,,,,,,
tbt_tran_curr_code,payment.debitCurrency,,,,,,,
tbt_mod_amt,payment.usdAmount,,,,,,,
tbt_sch_flag,payment.scheduleFlg,,,,,,,
tbt_sch_ref_num,,,,,,,,
tbt_direct_debt_ind,payment.directDebitFlg,,,,,,,
